iso3,unclassified,budget_support,curriculum,infrastructure,teacher_training
COL,0.8775771229037779,0.004366652940250501,2.1817708398162405e-4,0.07797342786818938,0.039864619203800626
COM,0.9623663347823593,0.0013982022624003776,0,0.02886277441603861,0.007372688539201718
CPV,0.8610167886842518,0.001540459111825502,8.164846321740406e-4,0.09086732070921952,0.04575894686252918
CRI,0.5610496327691965,0.14171510029119333,6.512190074809234e-5,0.2726342086001304,0.024535936438731632
CUB,0.8619681876313073,0.006968627265165424,0.0017202439196884391,0.11121010078128445,0.018132840402554386
DJI,0.7644836026636042,0.030792265843146996,0,0.11970585171383914,0.08501827977940966
DMA,0.573370464908621,0.0033928180297666606,0.0014604099270899785,0.14906191630808371,0.2727143908264387
DOM,0.6540050687491836,0.05464343175409822,0.005890307627318652,0.16662668446478726,0.11883450740461228
DZA,0.9813490098514744,0.0020562439605807774,3.1799814238976683e-5,0.014191108749905968,0.0023718376237998793
ECU,0.5322939203144557,0.010062550595832446,0.005159780932484164,0.14007224159802595,0.31241150655920186
EGY,0.8305007915204049,0.013302814321298291,0.004319590627549042,0.10101906210876635,0.0508577414219815
ERI,0.6441708825764453,0.005571114395573113,0,0.28787078589789233,0.06238721713008931
ETH,0.6462720416828206,0.15808009642377896,0.0011610844275163864,0.07241050031879848,0.12207627714708565
FJI,0.40473896228113343,0.007760609722864776,0.001036002187163847,0.5719472891999401,0.014517136608897793
GAB,0.9364241114656098,7.23537304456697e-4,0,0.062082403443549476,7.699477863840132e-4
GEO,0.6473010415784631,0.09142445523659183,0.0017018399508183953,0.1942340712527552,0.06533859198137143
GHA,0.7031630212205804,0.0857552196898081,4.296011858718531e-4,0.13007139384550204,0.08058076405823769
GIN,0.7619582120466437,0.0022670447384955167,0,0.22322678905664192,0.012547954158218744
GMB,0.8120959802662894,0.0158978896254414,0.003812287579973241,0.12493878036438458,0.043255062163911465
GNB,0.8064596527888074,0.031103932724351635,0.003113897250862179,0.08881170355065819,0.07051081368532067
GNQ,0.9530471561941997,0.014983291619205402,0.0017151000332317353,0.026720630953137512,0.003533821200225592
GRD,0.180458394004953,1.4265057631340485e-4,0,0.8146789078798227,0.00472004753891092
GTM,0.6967678349899402,0.05500705142571455,9.243648942393532e-4,0.11299106296847933,0.13430968572162658
GUY,0.795491330490107,0.0011948701162502464,0,0.09480355360922375,0.10851024578441905
HND,0.692276402616959,0.006348428954621492,2.3188633963790547e-4,0.15666915170076715,0.1444741303880144
HRV,0.36909572993849527,6.315896608404844e-4,0.006882589788974021,0.12260186437224554,0.5007882262394446
HTI,0.642765768978652,0.02509802853487151,0.0010552538201376311,0.2207108956835638,0.1103700529827751
IDN,0.5471280470354021,0.12789822950326127,4.5798432547729554e-4,0.13666424872451924,0.18785149041134014
IND,0.7607673399653323,0.0389252906392799,0.001065149390186906,0.06276842096871392,0.13647379903648704
IRN,0.983539426451524,3.5907514793605846e-4,2.0985002354442623e-5,0.009912062971552608,0.00616845042663289
IRQ,0.7076343768655093,0.007166689236366038,0.004291415009760484,0.2682013713304928,0.012706147557871295
JAM,0.49350517104099023,0.2932732822359237,0.02558458131462303,0.1391653461181795,0.04847161929028364
JOR,0.49531815784167127,0.2834328031295222,0.005846108788016941,0.14114178939867394,0.07426114084211569
KAZ,0.7428803607221048,0.004892145419432956,2.2852813525175912e-5,0.22443374831203403,0.02777089273290294
KEN,0.7036850711018959,0.09008105819311661,0.0052029946601892365,0.1510598957856544,0.04997098025914382
