iso3,dominant_bucket,dominant_share,country_total_usd_defl
FJI,infrastructure,0.5719472891999401,219.36536700000002
GAB,infrastructure,0.062082403443549476,350.912107
GEO,infrastructure,0.1942340712527552,728.594366
GHA,infrastructure,0.13007139384550204,1593.23117
GIN,infrastructure,0.22322678905664192,551.566089
GMB,infrastructure,0.12493878036438458,129.34779699999999
GNB,infrastructure,0.08881170355065819,173.574128
GNQ,infrastructure,0.026720630953137512,61.666957000000004
GRD,infrastructure,0.8146789078798227,17.728635
GTM,teacher_training,0.13430968572162658,903.24287
GUY,teacher_training,0.10851024578441905,62.9332
HND,infrastructure,0.15666915170076715,560.688483
HRV,teacher_training,0.5007882262394446,61.467124000000005
HTI,infrastructure,0.2207108956835638,1057.641279
IDN,teacher_training,0.18785149041134014,3908.917621
IND,teacher_training,0.13647379903648704,7093.544876999999
IRN,infrastructure,0.009912062971552608,1069.0492009999998
IRQ,infrastructure,0.2682013713304928,840.6551199999999
JAM,budget_support,0.2932732822359237,314.505049
JOR,budget_support,0.2834328031295222,3890.030758
KAZ,infrastructure,0.22443374831203403,481.34117000000003
KEN,infrastructure,0.1510598957856544,1392.014498
KGZ,infrastructure,0.33057257392852807,692.8394400000001
KHM,budget_support,0.1792348389216209,1148.760287
KIR,teacher_training,0.23817881773117636,125.699906
KNA,infrastructure,0.26625207766978704,0.335111
LAO,teacher_training,0.13883100212597557,859.5046940000001
LBN,budget_support,0.19447319516286132,2648.846853
LBR,infrastructure,0.22148357621984446,557.528834
LBY,infrastructure,0.11361929215690346,128.804675
LCA,infrastructure,0.12024559512399122,26.745645
LKA,budget_support,0.17078662161618874,1346.65534
LSO,infrastructure,0.22560078526244,77.383556
MAR,budget_support,0.03608682594625547,4544.068276999999
MDA,infrastructure,0.5496548545617606,612.1694699999999
MDG,infrastructure,0.07426691159044217,627.927606
MDV,infrastructure,0.029156668314188755,34.431506
MEX,budget_support,0.3859769536233524,4043.177087
MHL,infrastructure,0.040120768477267456,77.723262
MKD,infrastructure,0.20483446932579905,307.77727600000003
MLI,teacher_training,0.10647852701957218,1173.534181
MMR,budget_support,0.17426175369014876,1116.544152
MNE,infrastructure,0.19722051471858937,90.634263
MNG,infrastructure,0.14551437007892912,684.436011
MOZ,budget_support,0.1378369593287916,2137.829668
MRT,infrastructure,0.10466823778630188,322.986225
MSR,infrastructure,0.6053073023804206,19.681185
MUS,infrastructure,0.17074423077993764,183.024263
MWI,infrastructure,0.18832735840760778,1232.593007
MYS,teacher_training,0.030596333637268745,366.13589500000006
MYT,infrastructure,0.03375620644504151,427.85986699999995
NAM,budget_support,0.3494297023628106,456.378184
NER,infrastructure,0.04102994070850631,791.980891
NGA,teacher_training,0.06232380832411202,2212.30372
NIC,infrastructure,0.15003084947956308,503.17056299999996
NIU,teacher_training,0.20435252203275647,11.590016
NPL,infrastructure,0.15752926209051163,1997.359518
NRU,budget_support,0.21696950306509954,41.957527999999996
OMN,infrastructure,0.11119263910129641,2.070182
PAK,infrastructure,0.16711654375093676,6353.968154
PAN,budget_support,0.40624649356390957,349.099119
PER,budget_support,0.4631556885655559,1371.836032
PHL,budget_support,0.12165371415510919,2894.8945409999997
PLW,infrastructure,0.09973788009780701,8.35114
PNG,teacher_training,0.31477578932375033,663.16958
PRK,teacher_training,0.08393064440249451,36.743278000000004
PRY,budget_support,0.35933372485461323,288.527527
PSE,budget_support,0.47469165464043844,4683.806421
RWA,infrastructure,0.1351155050035977,1790.373651
SDN,infrastructure,0.14639875434260036,430.992342
SEN,teacher_training,0.11285278129955136,1834.666657
SHN,infrastructure,0.07657004825543148,35.952844
SLB,budget_support,0.2596778788881293,258.646009
SLE,infrastructure,0.1254888188748213,409.9811
SLV,teacher_training,0.26447590350983763,660.046521
SOM,infrastructure,0.18035776065824652,495.547836
SRB,infrastructure,0.13545045494808616,774.57112299999994
SSD,infrastructure,0.18173205222254588,724.1075549999999
STP,budget_support,0.05405414732943182,79.97243900000001
SUR,curriculum,0.2927205876239995,65.675466
SWZ,infrastructure,0.31822216851716106,87.258484
SYC,infrastructure,0.06770171157180428,13.082653
SYR,budget_support,0.09494598076927761,1878.647264
TCD,infrastructure,0.035704995111899396,281.578697
TGO,infrastructure,0.045891220981148825,293.92647900000003
THA,infrastructure,0.06949763019175437,450.104139
TJK,infrastructure,0.33698807789750057,340.086239
